customer_city,item_revenue,share,cum_share,rank
Girua,1335.28,0.0001014031441358323,0.9140295504913247,992
Sao Joao Dos Patos,1333.08,0.0001012360728720533,0.9141307865641968,993
Tupaciguara,1331.21,0.00010109406229784115,0.9142318806264946,994
Penedo,1329.77,0.00010098470656154943,0.9143328653330561,995
Sao Bento Do Una,1328.3899999999999,0.00010087990731426987,0.9144337452403704,996
Casca,1326.27,0.00010071891136917374,0.9145344641517396,997
Senador Canedo,1325.67,0.0001006733464790522,0.9146351374982186,998
Teodoro Sampaio,1324.67,0.00010059740499551629,0.914735734903214,999
Tabapua,1322.96,0.00010046754505866988,0.9148362024482727,1000
Sao Miguel Do Araguaia,1321.15,0.00010033009097346988,0.9149365325392461,1001
Apiuna,1320.6,0.00010028832315752511,0.9150368208624037,1002
Pirapozinho,1319.37,0.00010019491513277594,0.9151370157775365,1003
Conceicao Do Mato Dentro,1317.91,0.00010008404056681353,0.9152370998181033,1004
Guadalupe,1313.6999999999998,9.976432692112732e-05,0.9153368641450245,1005
Itaiopolis,1313.5900000000001,9.97559733579384e-05,0.9154366201183824,1006
Sao Miguel Arcanjo,1311.09,9.95661196490986e-05,0.9155361862380316,1007
Caarapo,1310.49,9.952055475897706e-05,0.9156357067927905,1008
Cangucu,1310.18,9.949701289908093e-05,0.9157352038056896,1009
Fronteiras,1308.8,9.939221365180136e-05,0.9158345960193415,1010
Dores De Campos,1308.14,9.934209227266767e-05,0.9159339381116142,1011
Itapui,1307.0900000000001,9.926235371495496e-05,0.9160332004653291,1012
Itamaraju,1304.23,9.904516107204224e-05,0.9161322456264012,1013
Ibipora,1303.38,9.898061081103674e-05,0.9162312262372122,1014
Barbalha,1302.98,9.895023421762235e-05,0.9163301764714298,1015
Barreiros,1302.16,9.888796220112291e-05,0.9164290644336309,1016
Barra Longa,1300.0,9.872392859668534e-05,0.9165277883622276,1017
Barao Ataliba Nogueira,1300.0,9.872392859668534e-05,0.9166265122908243,1018
Sao Joao,1299.09,9.865482184666766e-05,0.9167251671126709,1019
Tapiramuta,1298.99,9.864722769831407e-05,0.9168238143403693,1020
Neropolis,1297.22,9.851281127245551e-05,0.9169223271516418,1021
Simonesia,1295.8799999999999,9.841104968451737e-05,0.9170207382013263,1022
Astolfo Dutra,1294.52,9.830776926690855e-05,0.9171190459705932,1023
Barroso,1289.96,9.796147610198479e-05,0.9172170074466952,1024
Alcobaca,1289.78,9.794780663494832e-05,0.9173149552533302,1025
Jacarezinho,1289.36,9.791591121186323e-05,0.9174128711645421,1026
Xinguara,1282.22,9.737368901941683e-05,0.9175102448535615,1027
Sao Goncalo Do Amarante,1280.55,9.724686674191185e-05,0.9176074917203034,1028
Santa Helena,1277.85,9.704182473636489e-05,0.9177045335450398,1029
Bezerros,1277.39,9.700689165393839e-05,0.9178015404366937,1030
Mirandopolis,1274.99,9.682463209345219e-05,0.9178983650687872,1031
Tres Passos,1270.21,9.646163180215052e-05,0.9179948267005893,1032
Sao Jose De Ribamar,1267.85,9.628240990100577e-05,0.9180911091104903,1033
Agudos,1265.3,9.608875911798919e-05,0.9181871978696083,1034
Realeza,1264.26,9.600977997511185e-05,0.9182832076495835,1035
Pacajus,1262.5900000000001,9.588295769760689e-05,0.9183790906072811,1036
Cordeiropolis,1260.05,9.569006632942566e-05,0.9184747806736105,1037
Itariri,1259.3200000000002,9.563462904644446e-05,0.918570415302657,1038
Balsamo,1257.23,9.547591134585439e-05,0.9186658912140029,1039
Alto Paraiso,1256.99,9.545768538980577e-05,0.9187613488993926,1040
Duartina,1252.67,9.512961818093064e-05,0.9188564785175736,1041
Aluminio,1252.15,9.509012860949197e-05,0.9189515686461831,1042
Iracemapolis,1251.88,9.506962440893727e-05,0.9190466382705921,1043
Areado,1246.69,9.467548810938589e-05,0.9191413137587015,1044
Campinorte,1244.69,9.452360514231407e-05,0.9192358373638437,1045
Pimenta Bueno,1243.79,9.445525780713174e-05,0.9193302926216509,1046
Italva,1243.09,9.440209876865659e-05,0.9194246947204195,1047
Sao Miguel Do Guama,1240.79,9.4227433356524e-05,0.9195189221537761,1048
Mendes,1240.75,9.422439569718256e-05,0.9196131465494732,1049
Botelhos,1240.01,9.416819899936599e-05,0.9197073147484726,1050
Guarabira,1239.68,9.414313830979914e-05,0.9198014578867824,1051
Ouroeste,1235.19,9.38021610487229e-05,0.9198952600478311,1052
Ivoti,1235.1100000000001,9.379608573004003e-05,0.9199890561335611,1053
Parelhas,1233.8899999999999,9.37034371201262e-05,0.9200827595706812,1054
Dois Corregos,1233.69,9.368824882341904e-05,0.9201764478195046,1055
Descalvado,1231.74,9.3540162930524e-05,0.9202699879824351,1056
Buenopolis,1231.38,9.351282399645108e-05,0.9203635008064316,1057
Saloa,1231.0,9.348396623270742e-05,0.9204569847726642,1058
Nova Prata,1230.94,9.347940974369528e-05,0.9205504641824079,1059
Venturosa,1228.9,9.332448911728201e-05,0.9206437886715252,1060
Ipaussu,1228.72,9.331081965024554e-05,0.9207370994911754,1061
Colorado,1225.48,9.30647692435892e-05,0.920830164260419,1062
Pinheiros,1224.31,9.297591770785217e-05,0.9209231401781268,1063
Marituba,1224.29,9.297439887818146e-05,0.921016114577005,1064
Coruripe,1222.3,9.282327532594499e-05,0.921108937852331,1065
Guararapes,1220.84,9.271240075998256e-05,0.921201650253091,1066
Capinzal,1220.55,9.269037772975715e-05,0.9212943406308207,1067
Primeiro De Maio,1216.67,9.239572477363782e-05,0.9213867363555943,1068
Canarana,1211.63,9.201297969661683e-05,0.921478749335291,1069
Espumoso,1210.71,9.194311353176378e-05,0.9215706924488227,1070
Silvania,1208.79,9.179730588337482e-05,0.9216624897547061,1071
Divino,1208.59,9.178211758666764e-05,0.9217542718722928,1072
Palmares,1206.82,9.164770116080907e-05,0.9218459195734535,1073
Sao Goncalo Do Sapucai,1202.5,9.131963395193394e-05,0.9219372392074054,1074
Coaraci,1201.88,9.127255023214169e-05,0.9220285117576376,1075
Assis Chateaubriand,1200.31,9.115332210299029e-05,0.9221196650797405,1076
Bom Jesus Do Araguaia,1199.9,9.112218609474058e-05,0.9222107872658353,1077
Passagem,1199.0,9.105383875955825e-05,0.9223018411045948,1078
Sao Luis De Montes Belos,1196.37,9.08541126578588e-05,0.9223926952172526,1079
Riacho De Santana,1194.7,9.072729038035384e-05,0.922483422507633,1080
Santa Gertrudes,1194.21,9.069007905342124e-05,0.9225741125866864,1081
Jaguare,1193.95,9.06703342677019e-05,0.9226647829209541,1082
Rio Pomba,1192.8600000000001,9.058755805064776e-05,0.9227553704790048,1083
Sao Jose Do Vale Do Rio Preto,1192.21,9.053819608634941e-05,0.9228459086750912,1084
Sao Lourenco Da Mata,1190.96,9.044326923192952e-05,0.9229363519443231,1085
Coari,1190.65,9.041972737203339e-05,0.9230267716716951,1086
Guararema,1189.56,9.033695115497924e-05,0.9231171086228501,1087
Domingos Martins,1188.3,9.024126488572398e-05,0.9232073498877359,1088
Floresta,1184.37,8.994281485542786e-05,0.9232972927025913,1089
Ubajara,1178.9,8.952741494048643e-05,0.9233868201175318,1090
Parapua,1178.4,8.948944419871847e-05,0.9234763095617305,1091
Siqueira Campos,1178.09,8.946590233882233e-05,0.9235657754640694,1092
Sombrio,1175.92,8.930110931954942e-05,0.923655076573389,1093
Igrejinha,1173.03,8.908163843213062e-05,0.9237441582118211,1094
Schroeder,1168.69,8.875205239358477e-05,0.9238329102642147,1095
Saltinho,1164.79,8.84558806077947e-05,0.9239213661448225,1096
Perdizes,1163.31,8.834348721216156e-05,0.9240097096320347,1097
Colinas,1161.86,8.823337206103448e-05,0.9240979430040956,1098
Brejo Do Cruz,1160.0,8.809212090165769e-05,0.9241860351249973,1099
Limoeiro Do Norte,1156.67,8.783923576148311e-05,0.9242738743607588,1100
